dias,data,trat,bloco,NO3,NH4,EPSA,Tsolo,N2O,l1,l2,l3,l4,
245,25,17%,2,75.65759,4.082576,57.75,23.5,33.43853743,,,,,
245,25,17%,3,111.1459,20.5891,72.58,24.17,33.43853743,,,,,
245,25,46%,1,16.31498,3.021721,72.79,22.83,25.05181746,,,,,
245,25,46%,2,75.47114,7.127147,54.67,23.17,9.518085561,,,,,
245,25,46%,3,15.85255,8.504519,64.57,24.17,10.84336179,,,,,
245,25,75%,1,15.73757,4.124314,67.6,22.17,-33.09932505,,,,,
245,25,75%,2,41.77226,12.40863,69.57,22.83,17.28283957,,,,,
245,25,75%,3,9.8212,5.965812,53.17,24.17,-10.33901938,,,,,
245,25,CE,1,,,,,61.86755615,,,,,
252,26,S,1,5.851482,8.240877,72.9,22.5,17.77723629,,,,,
252,26,S,2,10.80504,7.120915,66.7,23.5,49.83823689,,,,,
252,26,S,3,14.40036,5.824441,57.36,22.5,-5.808092492,,,,,
252,26,17%,1,6.416776,6.442215,63.39,22.5,46.50002342,,,,,
252,26,17%,2,4.114076,6.068062,56.77,23.5,115.7932525,,,,,
252,26,17%,3,7.246627,6.365026,56.36,22.5,115.7932525,,,,,
252,26,46%,1,7.295307,5.248792,64.95,22.5,-0.736572563,,,,,
252,26,46%,2,5.404309,7.486042,61.35,22.5,101.189288,,,,,
252,26,46%,3,5.328183,9.086443,65.42,22.83,3.848758285,,,,,
252,26,75%,1,6.684653,7.238242,67.36,23.5,10.71224614,,,,,
252,26,75%,2,6.382104,9.204529,60.12,22.83,-6.016739886,,,,,
252,26,75%,3,8.066632,5.919569,58.93,22.83,5.086990061,,,,,
252,26,CE,1,,,,,1.35,,,,,
258,27,S,1,39.04536,5.567258,61.43,23.07,13.38230062,,,,,
258,27,S,2,106.0264,5.311995,66.59,23.5,68.33776911,,,,,
258,27,S,3,31.29109,4.202174,51.12,22.9,1.427824644,,,,,
258,27,17%,1,36.75412,5.41111,53.48,22.63,5.730497986,,,,,
258,27,17%,2,45.88647,4.039548,60.42,22.5,9.698205407,,,,,
258,27,17%,3,20.23208,7.003329,66.85,22.33,9.698205407,,,,,
258,27,46%,1,28.02725,3.951369,64.38,23.27,4.827486786,,,,,
258,27,46%,2,18.35145,4.491159,66.88,21.83,5.95163549,,,,,
258,27,46%,3,17.05003,5.76734,54.41,22.2,5.567711207,,,,,
258,27,75%,1,18.19504,6.752115,65.25,22,4.918586859,,,,,
258,27,75%,2,24.51622,6.517348,54.91,22.5,7.611249813,,,,,
258,27,75%,3,15.44958,4.734055,63.24,21.87,4.735167984,,,,,
258,27,CE,1,,,,,14.0302,,,,,
262,28,S,1,39.43859,2.199206,68.91,26.9,23.74704545,,,,,
262,28,S,2,64.13305,2.194463,64.67,26.9,25.38477273,,,,,
262,28,S,3,64.96878,3.762064,85.18,26.9,-88.84670455,,,,,
